VT WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5211	DHHN92_Height_To_EVRF_2007_Height_1	VERTTRAN["DHHN92_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["DHHN92",VDATUM["Deutches_Haupthoehennetz_1992"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.015],PARAMETER["Longitude_Of_Evaluation",10.21666666666667],PARAMETER["Latitude_Of_Evaluation",51.05],PARAMETER["Inclination_North",-0.01],PARAMETER["Inclination_East",0.002]]	0.1	Germany - onshore	47.27	5.86	55.09	15.04
  5420	DHHN92_To_EVRS_2000_1	VERTTRAN["DHHN92_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["DHHN92",VDATUM["Deutches_Haupthoehennetz_1992"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.014],PARAMETER["Longitude_Of_Evaluation",10.21666666666667],PARAMETER["Latitude_Of_Evaluation",51.05],PARAMETER["Inclination_North",-0.001],PARAMETER["Inclination_East",0.0]]	0.1	Germany - onshore	47.27	5.86	55.09	15.04
  5417	DNN_To_EVRS_2000_1	VERTTRAN["DNN_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Dansk_Normal_Nul",VDATUM["Dansk_Normal_Nul"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.011],PARAMETER["Longitude_Of_Evaluation",9.233333333333333],PARAMETER["Latitude_Of_Evaluation",56.03333333333333],PARAMETER["Inclination_North",0.003],PARAMETER["Inclination_East",0.011]]	0.1	Denmark - onshore	54.51	8	57.8	15.24
  7654	EGM2008_height_To_Kiunga_height_1	VERTTRAN["EGM2008_height_To_Kiunga_height_1",VERTCS["EGM2008_Geoid",VDATUM["EGM2008_Geoid"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Kiunga_(height)",VDATUM["Kiunga"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-3.0]]	0	Papua New Guinea - onshore south of 5~S and west of 144~E	-9.470000000000001	140.85	-5	144.01
  7653	EGM96_height_To_Kumul_34_height_1	VERTTRAN["EGM96_height_To_Kumul_34_height_1",VERTCS["EGM96_Geoid",VDATUM["EGM96_Geoid"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Kumul_34_(height)",VDATUM["Kumul_34"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-0.87]]	0	Papua New Guinea - PFTB	-8.279999999999999	142.24	-5.59	144.75
  5424	EOMA_1980_To_EVRS_2000_1	VERTTRAN["EOMA_1980_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["EOMA_1980",VDATUM["Baltic_1980"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.14],PARAMETER["Longitude_Of_Evaluation",19.58333333333333],PARAMETER["Latitude_Of_Evaluation",46.98333333333333],PARAMETER["Inclination_North",0.008],PARAMETER["Inclination_East",-0.002]]	0.1	Hungary	45.74	16.11	48.58	22.9
  5215	Genoa_Height_To_EVRF_2007_Height_1	VERTTRAN["Genoa_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Genoa_height",VDATUM["Genoa"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.259],PARAMETER["Longitude_Of_Evaluation",12.96666666666667],PARAMETER["Latitude_Of_Evaluation",42.58333333333334],PARAMETER["Inclination_North",-0.036],PARAMETER["Inclination_East",0.0]]	0.1	Italy - mainland	37.86	6.62	47.1	18.58
  5217	Genoa_Height_To_EVRF_2007_Height_2	VERTTRAN["Genoa_Height_To_EVRF_2007_Height_2",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Genoa_height",VDATUM["Genoa"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.333],PARAMETER["Longitude_Of_Evaluation",14.3],PARAMETER["Latitude_Of_Evaluation",37.5],PARAMETER["Inclination_North",-0.051],PARAMETER["Inclination_East",0.0]]	0.1	Italy - Sicily onshore	36.59	12.36	38.35	15.71
  5213	Genoa_Height_To_EVRS_2000_Height_1	VERTTRAN["Genoa_Height_To_EVRS_2000_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Genoa_height",VDATUM["Genoa"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.309],PARAMETER["Longitude_Of_Evaluation",12.96666666666667],PARAMETER["Latitude_Of_Evaluation",42.58333333333334],PARAMETER["Inclination_North",-0.03],PARAMETER["Inclination_East",0.0]]	0.1	Italy - mainland	37.86	6.62	47.1	18.58
  5216	Genoa_Height_To_EVRS_2000_Height_2	VERTTRAN["Genoa_Height_To_EVRS_2000_Height_2",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Genoa_height",VDATUM["Genoa"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.402],PARAMETER["Longitude_Of_Evaluation",14.3],PARAMETER["Latitude_Of_Evaluation",37.5],PARAMETER["Inclination_North",-0.079],PARAMETER["Inclination_East",0.0]]	0.1	Italy - Sicily onshore	36.59	12.36	38.35	15.71
  5557	GHA_To_EVRF_2007_height_1	VERTTRAN["GHA_To_EVRF_2007_height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["GHA",VDATUM["Gebrauchshohen_Adria"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.335],PARAMETER["Longitude_Of_Evaluation",14.45],PARAMETER["Latitude_Of_Evaluation",47.53333333333333],PARAMETER["Inclination_North",-0.065],PARAMETER["Inclination_East",-0.06]]	0.1	Austria	46.4	9.529999999999999	49.02	17.17
  5415	GHA_To_EVRS_2000_1	VERTTRAN["GHA_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["GHA",VDATUM["Gebrauchshohen_Adria"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.356],PARAMETER["Longitude_Of_Evaluation",14.45],PARAMETER["Latitude_Of_Evaluation",47.53333333333333],PARAMETER["Inclination_North",-0.057],PARAMETER["Inclination_East",-0.058]]	0.1	Austria	46.4	9.529999999999999	49.02	17.17
  5454	HKPD_Height_To_HKCD_Depth_1	VERTTRAN["HKPD_Height_To_HKCD_Depth_1",VERTCS["Hong_Kong_Principal_Datum",VDATUM["Hong_Kong_Principal_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Hong_Kong_Chart_Datum",VDATUM["Hong_Kong_Chart_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-0.146]]	0	China - Hong Kong	22.13	113.76	22.58	114.51
  5197	HVRS_1971_Height_To_EVRF_2007_Height_1	VERTTRAN["HVRS_1971_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["HVRS_1971",VDATUM["Croatian_Vertical_Reference_System_1971"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.313],PARAMETER["Longitude_Of_Evaluation",16.36666666666667],PARAMETER["Latitude_Of_Evaluation",45.35],PARAMETER["Inclination_North",-0.016],PARAMETER["Inclination_East",-0.018]]	0.1	Croatia - onshore	42.34	13.43	46.54	19.43
  5196	HVRS_1971_Height_To_EVRS_2000_Height_1	VERTTRAN["HVRS_1971_Height_To_EVRS_2000_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["HVRS_1971",VDATUM["Croatian_Vertical_Reference_System_1971"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.343],PARAMETER["Longitude_Of_Evaluation",16.36666666666667],PARAMETER["Latitude_Of_Evaluation",45.35],PARAMETER["Inclination_North",-0.007],PARAMETER["Inclination_East",-0.016]]	0.1	Croatia - onshore	42.34	13.43	46.54	19.43
  6699	JGD2000_vertical_(height)_to_JGD2011_(vertical)_height_1	VERTTRAN["JGD2000_vertical_(height)_to_JGD2011_(vertical)_height_1",VERTCS["JGD2000_vertical_height",VDATUM["Japanese_Geodetic_Datum_2000_vertical"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["JGD2011_vertical_height",VDATUM["Japanese_Geodetic_Datum_2011_vertical"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",0.0]]	0.01	Japan - onshore mainland excluding eastern main province	30.94	129.3	45.54	145.87
  5450	KOC_CD_Height_To_Kuwait_PWD_Height_1	VERTTRAN["KOC_CD_Height_To_Kuwait_PWD_Height_1",VERTCS["KOC_Construction_Datum",VDATUM["KOC_Construction_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Kuwait_PWD",VDATUM["Kuwait_PWD"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-0.49]]	0.1	Kuwait - onshore	28.53	46.54	30.09	48.48
  5453	KOC_CD_Height_To_Kuwait_WD_Depth_Ft_Intl_1	VERTTRAN["KOC_CD_Height_To_Kuwait_WD_Depth_Ft_Intl_1",VERTCS["KOC_Construction_Datum",VDATUM["KOC_Construction_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["KOC_WD_depth_ft",VDATUM["KOC_Well_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Foot",0.3048]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",15.55]]	0.1	Kuwait - onshore	28.53	46.54	30.09	48.48
  5413	KOC_CD_To_KOC_WD_1	VERTTRAN["KOC_CD_To_KOC_WD_1",VERTCS["KOC_Construction_Datum",VDATUM["KOC_Construction_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["KOC_Well_Datum",VDATUM["KOC_Well_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",4.74]]	0.1	Kuwait - onshore	28.53	46.54	30.09	48.48
  5455	KOC_WD_Depth_To_Kuwait_PWD_Height_1	VERTTRAN["KOC_WD_Depth_To_Kuwait_PWD_Height_1",VERTCS["KOC_Well_Datum",VDATUM["KOC_Well_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["Kuwait_PWD",VDATUM["Kuwait_PWD"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",4.25]]	0.1	Kuwait - onshore	28.53	46.54	30.09	48.48
  7701	Latvia_2000_height_To_EVRF2007_height_1	VERTTRAN["Latvia_2000_height_To_EVRF2007_height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Latvia_2000_(height)",VDATUM["Latvian_Height_System_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.003],PARAMETER["Longitude_Of_Evaluation",24.88333333333333],PARAMETER["Latitude_Of_Evaluation",56.96666666666667],PARAMETER["Inclination_North",0.0],PARAMETER["Inclination_East",0.00739999999999999]]	0.1	Latvia - onshore	55.67	20.87	58.09	28.24
  5431	LN02_To_EVRS_2000_1	VERTTRAN["LN02_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["LN_1902",VDATUM["Landesnivellement_1902"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.245],PARAMETER["Longitude_Of_Evaluation",8.183333333333334],PARAMETER["Latitude_Of_Evaluation",46.91666666666666],PARAMETER["Inclination_North",-0.21],PARAMETER["Inclination_East",-0.032]]	0.1	Europe - Liechtenstein and Switzerland	45.82	5.96	47.81	10.49
  5207	LN_1902_Height_To_EVRF_2007_Height_1	VERTTRAN["LN_1902_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["LN_1902",VDATUM["Landesnivellement_1902"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.225],PARAMETER["Longitude_Of_Evaluation",8.183333333333334],PARAMETER["Latitude_Of_Evaluation",46.91666666666666],PARAMETER["Inclination_North",-0.221],PARAMETER["Inclination_East",-0.033]]	0.1	Europe - Liechtenstein and Switzerland	45.82	5.96	47.81	10.49
  5432	N60_To_EVRS_2000_1	VERTTRAN["N60_To_EVRS_2000_1",VERTCS["N60",VDATUM["Helsinki_1960"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",0.213]]	0.1	Finland - onshore	59.75	19.24	70.09	31.59
110001	NAD_1983_2011_To_NAVD88_Alaska_GEOID12B_Height	VERTTRAN["NAD_1983_2011_To_NAVD88_Alaska_GEOID12B_Height",GEOGCS["GCS_NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["NAVD_1988",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012ba0",0.0]]	4	USA - Alaska	51.3	172.42	71.40000000000001	-129.99
110000	NAD_1983_2011_To_NAVD88_CONUS_GEOID12B_Height	VERTTRAN["NAD_1983_2011_To_NAVD88_CONUS_GEOID12B_Height",GEOGCS["GCS_NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["NAVD_1988",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bu0",0.0]]	0.05	USA - CONUS - onshore	24.41	-124.79	49.38	-66.91
110003	NAD_1983_2011_To_PRVD02_GEOID12B_Height	VERTTRAN["NAD_1983_2011_To_PRVD02_GEOID12B_Height",GEOGCS["GCS_NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["PRVD02_height",VDATUM["Puerto_Rico_Vertical_Datum_of_2002"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bp0",0.0]]	2	Puerto Rico	14.92	-68.49	21.86	-65.04000000000001
110035	NAD_1983_2011_To_VIVD09_GEOID12B_Height	VERTTRAN["NAD_1983_2011_To_VIVD09_GEOID12B_Height",GEOGCS["GCS_NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_2011",DATUM["D_NAD_1983_2011",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["VIVD09_height",VDATUM["Virgin_Islands_Vertical_Datum_of_2009"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bp0",0.0]]	2	Virgin Islands, US	16.22	-66.05	21.83	-63.88
110005	NAD_1983_MA11_To_GUVD04_GEOID12B_Height	VERTTRAN["NAD_1983_MA11_To_GUVD04_GEOID12B_Height",GEOGCS["GCS_NAD_1983_MA11",DATUM["D_NAD_1983_MA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_MA11",DATUM["D_NAD_1983_MA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["GUVD04_height",VDATUM["Guam_Vertical_Datum_of_2004"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bg0",0.0]]	1.6	Guam	10.95	141.19	15.91	148.18
110036	NAD_1983_MA11_To_NMVD03_GEOID12B_Height	VERTTRAN["NAD_1983_MA11_To_NMVD03_GEOID12B_Height",GEOGCS["GCS_NAD_1983_MA11",DATUM["D_NAD_1983_MA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_MA11",DATUM["D_NAD_1983_MA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["NMVD03_height",VDATUM["Northern_Marianas_Vertical_Datum_of_2003"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bg0",0.0]]	1.6	Northern Mariana Islands	12.38	141.33	23.9	149.55
110004	NAD_1983_PA11_To_ASVD02_GEOID12B_Height	VERTTRAN["NAD_1983_PA11_To_ASVD02_GEOID12B_Height",GEOGCS["GCS_NAD_1983_PA11",DATUM["D_NAD_1983_PA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_PA11",DATUM["D_NAD_1983_PA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["ASVD02_height",VDATUM["American_Samoa_Vertical_Datum_of_2002"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bs0",0.0]]	1.6	American Samoa	-17.56	-173.75	-10.02	-165.2
110002	NAD_1983_PA11_To_NAVD88_Hawaii_GEOID12B_Height	VERTTRAN["NAD_1983_PA11_To_NAVD88_Hawaii_GEOID12B_Height",GEOGCS["GCS_NAD_1983_PA11",DATUM["D_NAD_1983_PA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["NAD_1983_PA11",DATUM["D_NAD_1983_PA11",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["NAVD_1988",VDATUM["North_American_Vertical_Datum_1988"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["GEOID"],PARAMETER["Dataset_g2012bh0",0.0]]	2	USA - Hawaii - main islands	15.56	-163.74	25.58	-151.27
